N,country,year,Q.balance,UV.balance,energy_adequacy,gdp,polyunsatFA_percentseafood,calories_percentseafood,protein_percentseafood,vitaminA_percentseafood,thiamin_percentseafood,niacin_percentseafood,riboflavin_percentseafood,B6_percentseafood,iron_percentseafood,calcium_percentseafood,zinc_percentseafood,native,fishmeal,habitat,spp_farmed,prod_ratio,vitamins_all
26,Bulgaria,2011,0.983082081,0.94383592,1,0.11225368,0.011065253,0.020720506,0.031540409,0.021879003,0.039911968,0.048386279,0.021282382,0.042083594,0.063424942,0.007687409,0.043354009,NA,NA,NA,0.5,0.668133291,0.036001198
27,Burkina Faso,2011,0.846880251,0.677604753,1,0.006391746,0.015837686,0.026111789,0.048345785,0.020324197,0.039992529,0.070562337,0.02981735,0.038336724,0.053966312,0.042944949,0.018888159,NA,NA,NA,NA,NA,0.03935407
28,Burundi,2011,0.812479805,0.450429693,NA,0.000716103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011363636,0.355002233,NA
29,Cote dIvoire,2011,0.998903744,0.512086201,1,0.014455398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Cote dIvoire,2011,0.998903744,0.512086201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Cabo Verde,2011,0.606589117,0.925671898,1,0.041429869,0.036378186,0.057523751,0.105478405,0.038326847,0.097290996,0.170271184,0.052282613,0.080543028,0.098199673,0.097842638,0.08060941,NA,NA,NA,NA,NA,0.089420799
32,Cambodia,2011,0.978069324,0.88073784,1,0.015217943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444,0.222222222,0,0.318181818,0.56607388,NA
33,Cameroon,2011,0.821868349,0.849890124,1,0.014961764,0.06719438,0.072740424,0.136392321,0.024691767,0.114158773,0.210821558,0.09184416,0.086617581,0.13699812,0.105208689,0.064539796,NA,NA,NA,0.079545455,0.324627813,0.104360056
34,Canada,2011,0.941727271,0.870116048,1,0.306743131,0.017586426,0.052929248,0.089931389,0.034751819,0.053076814,0.067806781,0.033331206,0.072540407,0.153495705,0.024634328,0.182658823,0.488888889,0.344444444,0.544117647,0.181818182,0.59080055,0.077786985
35,Cayman Islands,2011,0.735625781,0.965759991,NA,0.3691752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Central African Republic,2011,0.5883659,0.989643458,0.75,0.002071905,0.003735068,0.007146486,0.016034508,0.007953444,0.01140749,0.0231149,0.007848314,0.009214602,0.0201554,0.006390358,0.007223491,NA,NA,NA,0.045454545,0.343020485,0.0116635
37,Chad,2011,0.711948615,0.736113828,0.666666667,0.009328069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011363636,0,NA
38,Chile,2011,0.941611554,0.827217116,1,0.147182441,0.022897337,0.043752221,0.067381586,0.005261462,0.029481612,0.046127077,0.032367333,0.086245144,0.056398296,0.02653292,0.048844376,0.233333333,0.244444444,0.323529412,0.25,0.619107032,0.041407278
39,China,2011,0.934609431,0.993641009,1,0.074164627,0.018006212,0.055379789,0.07814684,0.026266102,0.024066146,0.041149407,0.062595733,0.033364082,0.379165872,0.142819737,0.232347118,0.177777778,0.988888889,0.617647059,1,0.783572771,0.117721775
40,Hong Kong,2011,0.831527608,0.415321738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Macao,2011,0.980313211,0.914115765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Colombia,2011,0.98415824,0.82319819,1,0.08149345,0.01205094,0.02019598,0.040166652,0.000165132,0.018261557,0.026566812,0.014259799,0.044566954,0.023217278,0.009138377,0.021548558,1,0.222222222,0.294117647,0.25,0.558584187,0.019715558
43,Comoros,2011,0.571796059,0.588752138,NA,0.005473396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Congo,2011,0.994203396,0.728525567,0.833333333,0.037567706,0.10941284,0.086253877,0.192377902,0.018309346,0.225108867,0.227776569,0.100024647,0.144918549,0.125581933,0.204682477,0.15682415,NA,NA,NA,0.011363636,0.230313976,0.150403317
45,Democratic Republic of the Congo,2011,0.815905877,0.927586422,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Cook Islands,2011,0.937401731,0.929704199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045454545,0.153236744,NA
47,Costa Rica,2011,0.904337697,0.899063418,1,0.09329567,0.011336061,0.02086245,0.038913965,0.000694952,0.017767717,0.019368619,0.013306047,0.039999443,0.033241038,0.010975601,0.03244336,1,0.222222222,0.294117647,0.147727273,0.715411431,0.020974597
48,Croatia,2011,0.915594941,0.690555029,1,0.149468578,0.04363581,0.075475241,0.119966238,0.071464413,0.136565948,0.195536919,0.064740944,0.141158703,0.251347696,0.023446448,0.153086354,NA,NA,NA,0.261363636,0.589006434,0.129668428
49,Cuba,2011,0.836669629,0.819273798,1,0.137136021,0.006317763,0.010745763,0.020493418,0.003066014,0.013144269,0.012888649,0.009462798,0.016596509,0.013450709,0.006592813,0.013682317,NA,NA,NA,0.136363636,0.707279075,0.01111051
50,Curaçcao,2011,0.961080167,0.460852046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Cyprus,2011,0.956918034,0.722234392,1,0.242441403,0.019373743,0.054542626,0.084613427,0.048644134,0.086383223,0.100509166,0.040684437,0.094287161,0.143170633,0.022127451,0.140258118,NA,NA,NA,0.159090909,0.799104557,0.08450804
52,Czech Republic,2011,0.90295586,0.923083936,1,0.209640727,0.011409064,0.023009402,0.038788283,0.019577513,0.04241776,0.051730547,0.020824737,0.04426502,0.061182236,0.008527814,0.041898225,NA,NA,NA,0.181818182,0.821334678,0.036302981
53,Czechoslovakia,2011,0.996728344,0.712316534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079545455,NA,NA
54,Denmark,2011,0.896538245,0.73068998,1,0.319826997,0.054094711,0.070199635,0.089642675,0.03181742,0.135551463,0.173709204,0.049835524,0.122723214,0.176357708,0.01209105,0.122414211,1,0.255555556,0.735294118,0.261363636,0.502028807,0.103062474
55,Djibouti,2011,0.829146669,0.803807313,1,0.016223934,0.010435092,0.009661582,0.020301899,0.001962392,0.019502309,0.044900105,0.013683788,0.021411656,0.009720594,0.027479389,0.006558111,NA,NA,NA,NA,NA,0.018152293
56,Dominica,2011,0.950863631,0.169771711,NA,0.071702461,0.115430575,0.12576726,0.210233741,0.016164128,0.081344873,0.112459198,0.070692464,0.18062923,0.119827672,0.04262479,0.141738826,NA,NA,NA,0.022727273,0.385306639,0.095685148
57,Dominican Republic,2011,0.938206121,0.843184911,1,0.080587834,0.012303083,0.033231822,0.068904476,0.001284728,0.036580779,0.036651497,0.028017673,0.054820377,0.048808625,0.024801476,0.046282001,NA,NA,NA,0.25,0.578188173,0.034655895
58,Ecuador,2011,0.973178263,0.991579165,1,0.069736922,0.011959851,0.025346277,0.043815358,0.000203887,0.033445553,0.027822054,0.014427809,0.037736058,0.03241039,0.012517078,0.043963928,0.988888889,0.222222222,0,0.170454545,0.672360815,0.025315844
59,Egypt,2011,0.987171794,0.561133745,1,0.070817069,0.026466516,0.029329539,0.051569691,0.032668954,0.053913059,0.055805291,0.037591338,0.054100148,0.028480689,0.014565119,0.060792238,0.955555556,0.211111111,0.573529412,0.170454545,0.771746815,0.042239604
60,El Salvador,2011,0.932951499,0.875169113,1,0.052280032,0.011637218,0.023524694,0.046045855,0.002585479,0.024197568,0.026414493,0.017124702,0.029944689,0.021716393,0.011598451,0.026664469,NA,NA,NA,0.113636364,0.541857867,0.020030781
61,Equatorial Guinea,2011,0.840100535,0.769817588,NA,0.270693774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022727273,0.286169223,NA
62,Eritrea,2011,0.984351311,0.759828708,NA,0.005948301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011363636,0,NA
63,Estonia,2011,0.999784127,0.872940944,1,0.174814588,0.026477814,0.035431958,0.054255456,0.013863237,0.051731688,0.062775408,0.023159602,0.053211328,0.059022524,0.008218866,0.057764138,NA,NA,NA,0.147727273,0.34184671,0.041218349
64,Ethiopia,2011,0.947323303,0.884108829,0.666666667,0.004105609,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.045454545,0.237810706,0
65,Ethiopia PDR,2011,0.372764047,0.576158698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Falkland Islands,2011,0.438572591,0.494415192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Faroe Islands,2011,0.903965714,0.852913075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.222222222,0.294117647,0.011363636,0.58520998,NA
68,Fiji,2011,0.987409154,0.77598653,1,0.051458311,0.15362123,0.173308647,0.28382437,0.203422654,0.297103943,0.401730849,0.303466679,0.329293791,0.184911342,0.118299103,0.189964453,NA,NA,NA,NA,NA,0.253524102
69,Finland,2011,0.940536086,0.724678808,1,0.296885475,0.082016301,0.10200431,0.123570436,0.046269893,0.162195121,0.21955813,0.081502857,0.164368607,0.230054153,0.017737369,0.142385806,1,0.222222222,0.294117647,0.045454545,0.52781928,0.133008992
70,France,2011,0.980220872,0.960060707,1,0.274967172,0.034585075,0.090354885,0.1312133,0.053387868,0.135682078,0.153714147,0.068945169,0.13097648,0.478526651,0.027939187,0.260954743,0.311111111,0.977777778,0.676470588,0.647727273,0.642112861,0.16376579
71,French Guiana,2011,0.908157455,0.684617907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056818182,0.234349928,NA
72,French Polynesia,2011,0.863035133,0.952614903,NA,NA,0.104573738,0.228557509,0.329638269,0.22165377,0.39140799,0.371290776,0.279434416,0.375509002,0.480630072,0.19939121,0.437514427,NA,NA,NA,0.102272727,0.604933707,0.344603958
73,Gabon,2011,0.772996474,0.719913037,1,0.123472382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022727273,0.321847462,NA
74,Gambia,2011,0.839515683,0.920768217,1,0.006856913,0.075898151,0.109146005,0.248163609,0.024966877,0.302384549,0.409960944,0.181835618,0.212066099,0.140060462,0.386730327,0.14199315,NA,NA,NA,0.045454545,0.219752528,0.224999753
75,Georgia,2011,0.882838406,0.857705207,1,0.042736983,0.029184117,0.037861023,0.048016517,0.062348949,0.034218013,0.048723097,0.03498422,0.039995834,0.040991122,0.013179799,0.030790144,NA,NA,NA,0.068181818,0.453207765,0.038153897
76,Germany,2011,0.967323587,0.993466144,1,0.311050986,0.011467194,0.02635209,0.046959316,0.016076312,0.045740169,0.054131901,0.018266495,0.047770949,0.072459486,0.007584398,0.061162455,1,1,0.882352941,0.272727273,0.584131559,0.040399021
77,Ghana,2011,0.939059919,0.89336614,1,0.021077106,0.158935726,0.098643678,0.232641447,0.046128281,0.146496376,0.326734204,0.118376518,0.10700894,0.147890418,0.090175959,0.109320481,NA,NA,NA,0.045454545,0.505372063,0.136516397
78,Greece,2011,0.949330623,0.964173022,1,0.19449769,0.019957082,0.044407133,0.063788619,0.031171165,0.068242583,0.085516803,0.025225966,0.069546791,0.130772485,0.010853524,0.094647336,1,0.1,0.426470588,0.318181818,0.743782441,0.064497082
79,Greenland,2011,0.906400751,0.992963265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Grenada,2011,0.816255397,0.694866964,NA,0.07943278,0.121436794,0.195258488,0.296404423,0.209126078,0.21816932,0.26972889,0.157281036,0.323492559,0.225963103,0.127147315,0.283166581,NA,NA,NA,0.011363636,0,0.22675936
81,Guadeloupe,2011,0.966329437,0.92629714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022727273,0.259659921,NA
