N,country,year,Q.balance,UV.balance,energy_adequacy,gdp,polyunsatFA_percentseafood,calories_percentseafood,protein_percentseafood,vitaminA_percentseafood,thiamin_percentseafood,niacin_percentseafood,riboflavin_percentseafood,B6_percentseafood,iron_percentseafood,calcium_percentseafood,zinc_percentseafood,native,fishmeal,habitat,spp_farmed,prod_ratio,vitamins_all
110,Lebanon,2011,0.92661369,0.863460105,1,0.118293367,0.011509223,0.034867395,0.058013989,0.044256872,0.038914551,0.045575057,0.032849591,0.040893751,0.043227761,0.021959855,0.049980305,NA,NA,NA,0.045454545,0.641391803,0.039707218
111,Lesotho,2011,0.800688772,0.949824166,1,0.012586489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022727273,0.835214452,NA
112,Liberia,2011,0.657847231,0.833313515,1,0.000865167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045454545,0.286073553,NA
113,Libya,2011,0.82617874,0.936471807,NA,0.077949638,0.011959372,0.011471904,0.024923734,0.010027026,0.020175649,0.020646359,0.011653133,0.020834443,0.019822489,0.005633309,0.018116571,NA,NA,NA,0.034090909,0.160520262,0.015863622
114,Lithuania,2011,0.818671311,0.60271765,1,0.164228844,0.126066564,0.161560299,0.190701647,0.072469979,0.242973064,0.35981658,0.123037315,0.259799614,0.379516278,0.025970861,0.201112357,NA,NA,NA,0.170454545,0.450901468,0.208087006
115,Luxembourg,2011,0.978515979,0.94787347,1,0.677573009,0.039098571,0.072510658,0.107006208,0.044980484,0.099633297,0.115310181,0.044038672,0.097264941,0.268118982,0.02288106,0.188007496,NA,NA,NA,NA,NA,0.110029389
116,Macedonia,2011,0.801675965,0.769132067,1,0.082577343,0.009020397,0.020595477,0.034719403,0.013473618,0.039427243,0.046394114,0.01712155,0.031836021,0.032690438,0.006489627,0.031955296,NA,NA,NA,NA,NA,0.027423488
117,Madagascar,2011,0.99878839,0.734024685,0.833333333,0.005651673,0.035522574,0.018188057,0.044941785,0.017318422,0.050251148,0.059074623,0.023535768,0.030378553,0.064417037,0.029709726,0.025734979,1,0,0,0.102272727,0.536347013,0.037552532
118,Malawi,2011,0.949674692,0.455053787,1,0.001059923,0.000711731,0.00123796,0.002760676,0.000963009,0.001567573,0.002488587,0.001281536,0.001492054,0.00504631,0.002275964,0.001346769,NA,NA,NA,0.090909091,0.47340558,0.002057725
119,Malaysia,2011,0.915532653,0.861717426,1,0.15916968,0.170407296,0.220083458,0.361867142,0.317927806,0.452496895,0.439268791,0.274434967,0.371948588,0.493064428,0.191893045,0.58146241,1,0.811111111,0.485294118,0.534090909,0.640127624,0.390312116
120,Maldives,2011,0.778269584,0.964587299,1,0.078724917,1,1,1,1,1,1,1,1,1,0.556888157,1,NA,NA,NA,NA,NA,0.94461102
121,Mali,2011,0.608193737,0.637736013,1,0.006826202,0.003064295,0.004626954,0.008776829,0.003267382,0.008887201,0.014951221,0.004176406,0.006847965,0.0123688,0.004612995,0.003529041,NA,NA,NA,0.034090909,0.436859483,0.007330126
122,Malta,2011,0.893614291,0.917772573,1,0.20644448,0.068734557,0.111053037,0.156837722,0.104863973,0.182310422,0.194654544,0.110517024,0.166335194,0.372147602,0.057574094,0.238080556,NA,NA,NA,0.079545455,0.712868764,0.178310426
123,Marshall Islands,2011,0.981931013,0.87569923,NA,0.021634408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
124,Martinique,2011,0.734693149,0.620638484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045454545,0.392210521,NA
125,Mauritania,2011,0.914408307,0.987417273,1,0.020658381,0.024455619,0.026812238,0.050622268,0.007254216,0.061935464,0.132210799,0.027789398,0.065066275,0.038936457,0.024874918,0.015708974,NA,NA,NA,NA,NA,0.046722063
126,Mauritius,2011,0.825942935,0.912269436,1,0.116570525,0.036836996,0.094039357,0.163620859,0.083113987,0.19131126,0.2435473,0.106485197,0.152919387,0.194524454,0.376272777,0.154494569,NA,NA,NA,0.125,0.528245087,0.187833617
127,Mayotte,2011,0.794325476,0.745456498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056818182,0.448098516,NA
128,Mexico,2011,0.935161573,0.868040868,1,0.113201993,0.014103486,0.0322607,0.057567343,0.003626021,0.019794439,0.024292408,0.016475085,0.033721644,0.035150341,0.025338679,0.025141815,0.944444444,0.266666667,0.323529412,0.511363636,0.539758669,0.022942554
129,Micronesia,2011,0.881765459,0.718695034,NA,0.020922799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Republic of Moldova,2011,0.980392731,0.732892952,1,0.026682337,0.025306936,0.04930242,0.086387675,0.043849286,0.104868698,0.111183889,0.045331177,0.090622806,0.084609997,0.016979499,0.088907153,NA,NA,NA,NA,NA,0.073294063
131,Mongolia,2011,0.717399667,0.956090628,1,0.061963906,0.000802209,0.001876896,0.002191024,0.000137882,0.000899768,0.002021156,0.000838758,0.003775355,0.001145098,0.00123491,0.001015728,NA,NA,NA,NA,NA,0.001383582
132,Montenegro,2011,0.777333371,0.714865895,1,0.101860445,0.01573691,0.029283081,0.042781222,0.024759636,0.042903262,0.063737157,0.020607136,0.042960737,0.090531936,0.007628984,0.054934138,NA,NA,NA,0.068181818,0.665612958,0.043507873
133,Morocco,2011,0.96778684,0.924282189,1,0.045916002,0.040728728,0.052606667,0.078890045,0.050571677,0.046860821,0.067527464,0.037396943,0.097149586,0.043238426,0.030765854,0.085541574,0.811111111,0.366666667,0.514705882,0.204545455,0.204918294,0.057381543
134,Mozambique,2011,0.892404908,0.73672739,1,0.00250711,0.011637436,0.023259698,0.062202289,0.027573296,0.034135325,0.045280092,0.028396045,0.035630799,0.097118913,0.048313669,0.032825578,NA,NA,NA,0.125,0.324393424,0.043659215
135,Myanmar,2011,0.917959455,0.822562161,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.25,0.610310838,NA
136,Namibia,2011,0.987440377,0.812089961,0.166666667,0.059989378,0.056352578,0.051304083,0.100326472,0.054767818,0.089481208,0.192052688,0.052573134,0.086214584,0.067671469,0.066952808,0.069560206,0.377777778,1,1,0.102272727,0.249210003,0.084909239
137,Nepal,2011,0.750200562,0.822229132,1,0.010674133,0.000399874,0.001225262,0.001953698,0.00045761,0.000563552,0.000740516,0.000890064,0.001110106,0.001499639,0.001330257,0.001648939,NA,NA,NA,0.125,0.730719942,0.001030085
138,Netherlands,2011,0.966801913,0.74391155,1,0.34285466,0.048849492,0.073978714,0.090499994,0.036743683,0.118962921,0.138690691,0.041006202,0.108808332,0.154223093,0.010264332,0.092521433,0.988888889,1,0.897058824,0.136363636,0.560531624,0.087652586
139,Netherlands Antilles,2011,0.794432791,0.857055607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
140,New Caledonia,2011,0.838619799,0.780358596,NA,NA,0.064157266,0.143204337,0.212055126,0.086549625,0.255933337,0.248510394,0.158254297,0.214720036,0.443921085,0.116129537,0.312033477,NA,NA,NA,0.034090909,0.643864209,0.229506474
141,New Zealand,2011,0.975954063,0.935466883,1,0.23719722,0.055417183,0.077340756,0.101885094,0.035248116,0.141256095,0.139758348,0.050012926,0.123341442,0.155070387,0.017249569,0.109933969,0,1,0.882352941,0.034090909,0.617297353,0.096483857
142,Nicaragua,2011,0.934833949,0.957269014,1,0.027013422,0.013204276,0.021661611,0.038977965,0.000152415,0.02073535,0.026806044,0.020083914,0.03330973,0.029059711,0.012469947,0.030538235,1,0.222222222,0.294117647,0.056818182,0.65445619,0.021644418
143,Niger,2011,0.943257587,0.718475966,1,0.001423967,0.000306272,0.000603477,0.000990016,0.00045761,0.000902067,0.001878792,0.00054534,0.000752678,0.000969876,0.000444393,0.000328925,NA,NA,NA,0.011363636,0.267318073,0.00078496
144,Nigeria,2011,0.850028743,0.873930152,1,0.034557975,0.050038864,0.050052698,0.117398768,0.010873691,0.06952721,0.155602637,0.045852437,0.068276032,0.052634891,0.155304792,0.059383215,0.544444444,0.588888889,0.441176471,0.204545455,0.633995196,0.077181863
145,Norway,2011,0.934270046,0.846027905,1,0.46531431,0.050463225,0.122743208,0.211180026,0.069378241,0.199456931,0.215947479,0.074635489,0.218947078,0.225417661,0.040408885,0.283846908,1,0,0.294117647,0.159090909,0.654144836,0.166004834
146,Oman,2011,0.921840111,0.935740325,1,0.313573078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090909091,0.23468803,NA
147,Pakistan,2011,0.990998504,0.883283923,1,0.027755743,0.002107002,0.002802439,0.004037545,0.000771984,0.001179256,0.004513427,0.001458569,0.003927795,0.004208542,0.001673687,0.004625232,0.333333333,0.222222222,0.588235294,0.102272727,0.626851398,0.002794811
148,Palau,2011,0.570627449,0.850955005,NA,0.093008031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068181818,0.45062906,NA
149,Palestine,2011,0.626145066,0.921582601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Panama,2011,0.920646437,0.805589674,1,0.119055912,0.025434992,0.055267703,0.08840196,0.002365024,0.047856162,0.050165642,0.033443933,0.093675097,0.06396908,0.045512747,0.057328828,1,0.222222222,0.588235294,0.181818182,0.492326275,0.049289564
151,Papua New Guinea,2011,0.874101831,0.93853224,NA,0.012943791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102272727,0.386846287,NA
152,Paraguay,2011,0.985639238,0.836109358,1,0.051592393,0.000698503,0.002233575,0.004082491,0.000449132,0.001937582,0.002716897,0.001764832,0.00470723,0.003408024,0.001450849,0.002924492,NA,NA,NA,0.113636364,0.62156942,0.00241988
153,Peru,2011,0.999875478,0.947892901,1,0.073119686,0.090873094,0.112421349,0.180220908,0.003586037,0.081387457,0.097309695,0.084317208,0.134386317,0.17221878,0.098105544,0.140242518,1,0.233333333,0.308823529,0.284090909,0.399741926,0.101444195
154,Philippines,2011,0.82611245,0.771954432,1,0.038479314,0.229293897,0.143872859,0.247004529,0.096079814,0.246840828,0.314534043,0.187378031,0.220391331,0.197135737,0.139716005,0.374458423,1,0.5,0.220588235,0.352272727,0.712498585,0.222066777
155,Poland,2011,0.89890599,0.876324027,1,0.164066298,0.025179132,0.034039441,0.052293463,0.018500922,0.052726111,0.069140993,0.026111304,0.057336846,0.067400665,0.009825189,0.046919835,0.444444444,0.444444444,0.588235294,0.136363636,0.575046585,0.043495233
156,Portugal,2011,0.969702057,0.995129414,1,0.197117909,0.058463164,0.143604382,0.242245862,0.080455214,0.227361937,0.23614479,0.111502739,0.223737581,0.393475777,0.056628678,0.297003722,0.855555556,0.733333333,0.823529412,0.431818182,0.490613715,0.203288805
157,Qatar,2011,0.819200603,0.775846755,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022727273,0.304825194,NA
158,Reunion,2011,0.868437289,0.879903974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Reunion,2011,0.868437289,0.879903974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Romania,2011,0.998634584,0.86515722,1,0.127395968,0.010207123,0.016903621,0.023924674,0.01012318,0.030207072,0.037941141,0.013260281,0.026542321,0.034476762,0.004034146,0.025881526,NA,NA,NA,0.363636364,0.770122312,0.022808304
161,Russian Federation,2011,0.958256226,0.895174361,1,0.164439331,0.033129948,0.057976397,0.090057132,0.043741838,0.107806419,0.123513452,0.053971393,0.10016206,0.124862622,0.02126738,0.097515866,0.922222222,0.966666667,0.955882353,NA,NA,0.084105129
162,Rwanda,2011,0.669749928,0.864136173,1,0.005843433,0.004754692,0.0044659,0.010224071,0.002333003,0.00484775,0.007492657,0.003695685,0.003601572,0.017063796,0.005779126,0.004001298,NA,NA,NA,0.034090909,0.422558851,0.006101861
163,Saint Helena,2011,0.771323296,0.670808402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Saint Kitts and Nevis,2011,0.895413838,0.967659086,NA,0.14947457,0.074047,0.172851076,0.324856512,0.32702614,0.194632882,0.18663649,0.154778511,0.334280854,0.280804946,0.240774885,0.420066559,NA,NA,NA,0.011363636,0.001447167,0.267375159
165,Saint Lucia,2011,0.566833336,0.99008014,NA,0.074315189,0.205880966,0.172700506,0.241562014,0.283956285,0.169671273,0.206213379,0.133582459,0.300426601,0.219918157,0.159280774,0.297126507,NA,NA,NA,0.034090909,0.402404318,0.22127193
166,Saint Vincent and the Grenadines,2011,0.881999591,0.760846964,1,0.069321942,0.051707101,0.084517479,0.136430531,0.079246415,0.088453496,0.100154722,0.069383703,0.125292457,0.102218115,0.055647768,0.13575468,NA,NA,NA,NA,NA,0.094518919
167,Samoa,2011,0.99042874,0.994486367,1,0.037857593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079545455,0.1789133,NA
168,Sao Tome and Principe,2011,0.966112661,0.822647013,1,0.01665015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Saudi Arabia,2011,0.958107869,0.999622202,1,0.350987226,0.01239964,0.022572547,0.036700949,0.034464755,0.024419863,0.030455411,0.021364632,0.028379232,0.023348255,0.013116781,0.034377601,0.966666667,0.033333333,0.573529412,0.204545455,0.611285165,0.026240816
170,Senegal,2011,0.887775357,0.692620337,1,0.011549787,0.066716781,0.118708706,0.249239724,0.039584495,0.306337723,0.449340119,0.183087335,0.219937488,0.185335284,0.270384272,0.111237276,0.666666667,0.744444444,0.735294118,0.113636364,0.218744604,0.220655499
171,Serbia,2011,0.803487109,0.958486708,1,0.089548862,0.012171107,0.01903469,0.030217622,0.019683035,0.032937539,0.041535651,0.021427463,0.034982986,0.038166592,0.006222609,0.02885648,NA,NA,NA,0.056818182,0.729644033,0.027976544
172,Serbia and Montenegro,2011,0.811075932,0.915020885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056818182,NA,NA
173,Seychelles,2011,0.851827524,0.460358614,NA,0.164338957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
174,Sierra Leone,2011,0.970485186,0.987275569,1,0.005674145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011363636,0.167874642,NA
175,Singapore,2011,0.950267731,0.842743834,NA,0.556792756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534090909,0.719616887,NA
176,Slovakia,2011,0.955834804,0.777928558,1,0.183897714,0.015218277,0.026284096,0.046886608,0.019387578,0.051841818,0.064716616,0.025790603,0.054562333,0.056635703,0.010727746,0.047575223,NA,NA,NA,0.227272727,0.646920232,0.041404703
177,Slovenia,2011,0.982489353,0.972021716,1,0.208961328,0.013548495,0.030365589,0.046205594,0.024324353,0.050183875,0.058796649,0.023091968,0.048571705,0.093994281,0.010486939,0.060823699,NA,NA,NA,0.306818182,0.736701852,0.046284184
178,Solomon Islands,2011,0.8972358,0.977175701,1,0.010182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034090909,0.59898181,NA
179,Somalia,2011,0.838500632,0.926674123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,South Africa,2011,0.990974797,0.940945295,1,0.087443998,0.013269655,0.024610995,0.043148254,0.014137409,0.025512802,0.050068235,0.015317421,0.039434564,0.029595965,0.068717157,0.02501743,0.155555556,0.955555556,0.897058824,0.295454545,0.400109405,0.033475123
181,Spain,2011,0.993173425,0.965012106,1,0.239048152,0.032824373,0.110000724,0.171318862,0.110150299,0.154868133,0.169984383,0.085596469,0.153235549,0.409353254,0.051266771,0.295803893,1,0.955555556,0.852941176,0.897727273,0.616540795,0.178782344
182,Sri Lanka,2011,0.830375364,0.924326768,1,0.062413343,0.417808816,0.120093434,0.261031657,0.259713402,0.070266502,0.166478112,0.036913678,0.107359713,0.584848646,1,0.159171324,1,0,0,0.193181818,0.46190397,0.298093922
183,Saint Pierre and Miquelon,2011,0.989344223,0.927105438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,Sudan,2011,0.606263053,0.713402641,NA,0.021432162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
185,Sudan (former),2011,0.98826463,0.860966441,1,NA,0.000985118,0.001295647,0.002140386,0.000892118,0.002340285,0.004335232,0.000756827,0.001956714,0.00359109,0.000728861,0.001224476,NA,NA,NA,0.022727273,0.462747918,0.0019782
186,Suriname,2011,0.849771042,0.858788388,1,0.108633464,0.023396489,0.063536497,0.13353737,0.019988877,0.070403106,0.059949623,0.045178236,0.139764841,0.088378068,0.066896969,0.1204269,NA,NA,NA,0.056818182,0.303147672,0.076373327
187,Swaziland,2011,0.896454391,0.917993511,1,0.05245756,0.004860005,0.004652798,0.010513779,0.008779623,0.008118945,0.017010002,0.005759722,0.009246756,0.013735172,0.006108707,0.005477436,NA,NA,NA,0.090909091,0.740699539,0.009279545
188,Sweden,2011,0.974904439,0.977269008,1,0.322786541,0.042925563,0.071053881,0.112076762,0.03272539,0.118857348,0.147499247,0.055700812,0.117029586,0.18156986,0.020826561,0.198936922,0.255555556,0.511111111,0.705882353,0.102272727,0.528664313,0.109143216
189,Switzerland,2011,0.961528851,0.901350281,1,0.403996096,0.014361655,0.033613619,0.05885215,0.020629391,0.063119176,0.074190449,0.029105996,0.058466346,0.163389058,0.011702436,0.118544121,NA,NA,NA,0.079545455,0.676934465,0.067393372
190,Syrian Arab Republic,2011,0.978749265,0.835240704,NA,NA,0.011669049,0.030008259,0.043682583,0.025573602,0.031102062,0.042831155,0.016985693,0.031098783,0.083106687,0.010375962,0.073250025,NA,NA,NA,0.056818182,0.722248205,0.039290496
191,Taiwan,2011,0.991271879,0.836957749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.277777778,0.470588235,NA,NA,NA
192,United Republic of Tanzania,2011,0.875013713,0.988728771,1,0.011908587,0.002358386,0.003887194,0.008167391,0.001131283,0.005186416,0.008764235,0.002465619,0.004660517,0.004961771,0.011182963,0.004803209,NA,NA,NA,NA,NA,0.005394502
193,Thailand,2011,0.999338149,0.800308325,1,0.097656709,0.073638383,0.084065374,0.149224508,0.084182076,0.14982941,0.202023518,0.104896198,0.13424171,0.225229928,0.057603383,0.26338251,0.922222222,0.177777778,0.117647059,0.431818182,0.675767691,0.152673592
194,Timor-Leste,2011,0.571634839,0.89803151,1,0.010100352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,Togo,2011,0.941965493,0.604104658,1,0.004779015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045454545,0.222599422,NA
196,Tonga,2011,0.823952062,0.975833272,NA,0.0330606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.666666667,0.588235294,0.079545455,0.573258849,NA
197,Trinidad and Tobago,2011,0.912960001,0.899988225,1,0.218335839,0.04603834,0.085289792,0.156942795,0.163093927,0.090659779,0.109135047,0.073785053,0.174237277,0.100286265,0.091051511,0.186308857,NA,NA,NA,0.034090909,0.179192137,0.123569714
198,Tunisia,2011,0.924269516,0.979768071,1,0.071921187,0.032757288,0.058278744,0.082423138,0.063310443,0.103082842,0.141986931,0.066258291,0.112561247,0.092494555,0.022688231,0.083328347,NA,NA,NA,0.295454545,0.534012039,0.085713861
199,Turkey,2011,0.991826498,0.949618992,1,0.129262631,0.010579011,0.023438316,0.030133077,0.023093155,0.021596637,0.033750121,0.018912048,0.024309621,0.034772403,0.007637838,0.024076994,0.6,0.244444444,0.602941176,0.261363636,0.637612685,0.023518602
200,Turkmenistan,2011,0.580597893,0.879353286,1,0.080474726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022727273,0.272831903,NA
201,Turks and Caicos Islands,2011,0.907641913,0.887607009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,Tuvalu,2011,0.908203617,0.8661949,NA,0.021506319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.13364055,NA
203,Uganda,2011,0.8766503,0.871972676,1,0.007725825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090909091,0.594879856,NA
204,Ukraine,2011,0.866355188,0.906922665,1,0.057414103,0.036162753,0.059942467,0.089187931,0.041136474,0.106723612,0.135339224,0.059878964,0.092064259,0.143213507,0.019812449,0.098527749,0.744444444,0.944444444,0.764705882,0.375,0.567379114,0.08708703
205,USSR,2011,0.886727856,0.981004116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,United Arab Emirates,2011,0.958702787,0.734692554,1,0.426793048,0.025582704,0.074439276,0.115851307,0.106527814,0.073592691,0.087504187,0.072205122,0.093282791,0.063477176,0.049986129,0.07812852,NA,NA,NA,0.136363636,0.351765547,0.078088054
207,United Kingdom,2011,0.939791305,0.887479927,1,0.269460818,0.020025173,0.047304313,0.078262644,0.03112693,0.072860002,0.078926543,0.035341298,0.069957039,0.10935151,0.01957801,0.130131435,0.988888889,0.1,0.367647059,0.397727273,0.630638454,0.068409096
208,United States of America,2011,0.938614376,0.891090527,1,0.368271083,0.009031054,0.043269642,0.07170765,0.028813298,0.038679049,0.048015575,0.02340628,0.058360887,0.145349251,0.019938656,0.171295641,0.3,0.7,0.705882353,0.488636364,0.52772733,0.06673233
209,Uruguay,2011,0.996337876,0.87494281,1,0.129495589,0.010183228,0.017742685,0.025976467,0.00299436,0.023943747,0.02263523,0.016208595,0.035552627,0.026487041,0.007062115,0.01979141,NA,NA,NA,0.136363636,0.225974146,0.019334391
210,Uzbekistan,2011,0.62674967,0.666779166,1,0.028429899,0.000225674,0.000475905,0.0005999,0.000171793,0.000942846,0.001112308,0.000449937,0.000888421,0.000347682,0.000117902,0.000296617,NA,NA,NA,0.068181818,0.733806249,0.000540938
211,Vanuatu,2011,0.802376743,0.895573596,1,0.017214194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068181818,0.234791106,NA
212,Venezuela,2011,0.963434765,0.68428357,1,0.122732308,0.019363996,0.04731239,0.077399709,0.002761952,0.044010023,0.038533578,0.037585019,0.077552017,0.074708877,0.046666405,0.076005886,0,0.222222222,0.294117647,NA,NA,0.04972797
213,Viet Nam,2011,0.942426932,0.688976588,1,0.030710792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.966666667,0.2,0.176470588,0.272727273,0.71455394,NA
214,Yemen,2011,0.957275699,0.853558379,1,0.022465118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.232144082,NA
215,Yugoslavia SFR,2011,0.976064046,0.673451608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068181818,NA,NA
216,Zambia,2011,0.966791516,0.657838585,0.166666667,0.020706321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102272727,0.544239941,NA
217,Zimbabwe,2011,0.974449247,0.976182187,0.75,0.006790247,0.002752273,0.004744642,0.009836118,0.006080963,0.009600654,0.021464339,0.007130546,0.009870456,0.01150689,0.006789541,0.005642206,NA,NA,NA,0.034090909,0.530392601,0.009760699
218,South Sudan,2011,NA,NA,NA,0.021308566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
219,Southern Africa,2011,NA,NA,1,0.083483708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,Tajikistan,2011,NA,NA,0.416666667,0.012077126,0.000878715,0.001725025,0.002620789,0.000923176,0.003350021,0.00462766,0.002245302,0.003984294,0.003376453,0.000690203,0.002775691,NA,NA,NA,0.090909091,0.675184471,0.0027466
221,Eastern Asia,2011,NA,NA,1,0.221046694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,Afghanistan,2011,NA,NA,1,0.008205974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011363636,0.709226823,NA
223,Southern Asia,2011,NA,NA,1,0.038996916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,West Bank and Gaza Strip,2011,NA,NA,NA,0.028026903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,Anguilla,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,British Virgin Islands,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,Montserrat,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,Puerto Rico,2011,NA,NA,NA,0.250965728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113636364,0.413601201,NA
229,United States Virgin Islands,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,American Samoa,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.328379401,NA
231,Nauru,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
232,Niue,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,Northern Mariana Islands,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,Tokelau,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,Wallis and Futuna Islands,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,Andorra,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,Gibraltar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,Holy See,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Liechtenstein,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,Monaco,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,San Marino,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
